Source_Name,GLON,GLAT,Flux1000,Unc_Flux1000,PL_Index,Unc_PL_Index,CLASS,Redshift,SED_class,nu_syn,nuFnu_syn
4FGL J2117.8-1521,34.8878,-39.229996,1.3424482e-10,3.415887e-11,2.3880138,0.20296857,bcu,-inf,LSP,2985382600000.0,3.9383018e-13
4FGL J2117.8-3243,12.4435425,-43.87385,2.8470656e-10,4.6767513e-11,2.029143,0.12683794,bll,0.215276,HSP,3427677800000000.0,2.5992138e-12
4FGL J2118.0+0019,51.996044,-31.908512,1.6610775e-10,3.8692643e-11,2.5723736,0.14177752,fsrq,0.463,LSP,6237348400000.0,1.09691e-12
4FGL J2118.8-0723,44.109062,-36.026638,1.12277715e-10,3.6455197e-11,2.8200145,0.16360939,nlsy1,0.260015,ISP,732824500000000.0,1.5652185e-12
4FGL J2119.0-3317,11.707392,-44.1905,3.2023656e-10,5.5434848e-11,2.3136077,0.12090037,bcu,-inf,LSP,4897788400000.0,2.6626924e-13
4FGL J2119.6-1105,40.10079,-37.8871,3.8803988e-10,4.2971522e-11,2.3651042,0.08132526,fsrq,1.844,LSP,4466835700000.0,2.500403e-13
4FGL J2120.6-1254,38.124146,-38.865406,2.7183195e-10,3.831346e-11,2.3361971,0.104520135,bcu,0.582,,0.0,0.0
4FGL J2120.6-6114,333.52893,-41.241653,1.3690303e-10,2.7773261e-11,2.2919993,0.14843783,fsrq,1.017,LSP,8035261500000.0,6.4607065e-13
4FGL J2121.0+1901,69.25126,-21.242342,2.2042599e-09,8.657957e-11,2.2199636,0.026399013,fsrq,2.18,LSP,6683439400000.0,1.5168896e-13
4FGL J2123.6+0535,57.9979,-30.10824,4.262615e-10,4.6997208e-11,2.389792,0.07325588,fsrq,1.941,LSP,4315190700000.0,2.253082e-12
4FGL J2123.8-3148,13.958608,-44.99923,1.4975564e-10,3.7746677e-11,2.6022766,0.14185165,bcu,-inf,,0.0,0.0
4FGL J2126.1-3922,3.218912,-45.98888,2.1641727e-10,3.5200454e-11,2.2304142,0.126948,bll,-inf,,0.0,0.0
4FGL J2126.3-4605,353.58865,-45.61936,8.0755247e-10,5.2139508e-11,2.5543292,0.039143782,FSRQ,1.67,LSP,3162277700000.0,1.2043564e-12
4FGL J2126.5+1842,69.903015,-22.428642,2.0418779e-10,3.8855086e-11,2.067372,0.15325491,bcu,-inf,,0.0,0.0
4FGL J2127.6-5959,334.7099,-42.4824,1.15097494e-10,2.5809754e-11,1.902034,0.13975304,bcu,0.005784,,0.0,0.0
4FGL J2127.7+3612,83.35042,-10.556593,1.2452488e-09,7.6458714e-11,1.9906721,0.04169457,bll,-inf,HSP,3801894000000000.0,3.7213197e-12
4FGL J2130.2-7320,318.94138,-36.858387,1.245972e-10,2.8141642e-11,2.1528776,0.16885538,bll,0.056502,HSP,3162277600000000.0,1.3426722e-12
4FGL J2130.4-4241,358.38214,-46.668903,2.0714201e-10,3.648323e-11,2.4378984,0.11715003,bcu,-inf,,0.0,0.0
4FGL J2130.8-6623,326.69656,-40.256115,7.9557233e-10,5.4586065e-11,2.2493837,0.049625754,bcu,-inf,,0.0,0.0
4FGL J2131.0-2746,19.994762,-45.850338,8.2160173e-10,5.7840843e-11,1.7927285,0.043960754,bll,0.38,HSP,1.3803842e+16,2.6240555e-12
4FGL J2131.5-0916,43.87576,-39.673843,6.50692e-10,5.1795807e-11,1.9888407,0.059044328,bll,0.449,HSP,2.9241525e+16,3.4544268e-12
4FGL J2131.7-2515,23.554085,-45.463085,3.002053e-10,3.9258288e-11,1.8430922,0.084946714,bll,0.86,,0.0,0.0
